net,length_um
clk,1131.21
net26,973.76
net54,970.5
net2,966.97
net22,959.42
net23,951.68
net19,950.22
net13,950
net25,942.74
net33,941.76
net10,941.04
net21,938.58
net29,936.76
net58,936.32
net3,935.96
net24,935.68
net32,935.37
net31,934.78
net30,934.155
net28,933.08
net20,932.9
net15,931.9
net9,931.32
net6,929.72
net57,929.215
net27,929.02
net8,927.98
net51,927.6
net4,927.06
net7,926.76
net16,925.68
net5,925.42
net1,924.7
net14,924.36
net12,920.44
net17,918.9
net18,917.06
net59,916.24
net11,915
net38,914.92
net61,914.8
net36,909.12
net60,907.165
net39,905.75
net63,902.86
net37,901.88
net40,899.88
net62,899.2
net34,897.56
net41,895.84
net44,887.68
net56,884.08
net35,883.64
net46,879.14
net42,878.42
net52,877.555
net49,871.9
net55,865.84
net53,862.66
net45,860.1
net43,858.46
net50,857.12
net48,855.08
net47,851.38
clknet_0_clk,522.1
_0434_,384.74
_1157_,384.61
_0404_,381.55
_0396_,371.25
_0506_,369.725
_0471_,369.65
_1169_,365.36
_0406_,355.88
_1171_,347.58
_0505_,346.63
_0466_,343.18
_0424_,333.68
_0380_,328.44
_0390_,321.59
_0520_,320.88
_0519_,318.77
_1200_,315.82
_0399_,310.72
_0436_,308.03
_1175_,307.98
_1167_,306.96
_1073_,302.86
_1112_,302.26
_0552_,300.75
_1061_,299.36
clknet_3_4__leaf_clk,298.48
_1067_,297.63
_0980_,297.435
_0445_,296.84
_0439_,296.505
_0493_,294.01
_1082_,293.8
_1078_,292.69
_0379_,291.675
_0372_,291.36
_1189_,290.04
_1203_,289.56
clknet_3_2__leaf_clk,289.5
_1075_,287.2
_0971_,284.82
_1120_,284.32
_0569_,282.56
_0419_,282.19
_0981_,281.9
_0403_,280.405
_1155_,278.52
cycle_counter\[3\],277.48
_0411_,276.535
_0453_,276.14
_0973_,275.96
_0959_,274.64
_1118_,273.74
_0526_,272.12
clknet_3_6__leaf_clk,271.54
_0531_,271.53
_0979_,271.19
_0392_,269.82
_0414_,269.28
_0524_,268.62
_0480_,267.86
clknet_3_5__leaf_clk,266.3
_0964_,265.5
_1062_,262.86
_1186_,261.82
_1122_,261.06
_0562_,260.78
_1182_,260.76
_0423_,258.16
_1166_,257.64
_1248_,257.32
clknet_3_3__leaf_clk,256.56
_0431_,256.48
_1088_,255.34
_0498_,253.93
_1146_,253.92
_0966_,251.71
_1172_,251.53
_0447_,251.46
_0385_,249.755
_0983_,248.08
_0492_,247.42
_0446_,247.395
_0542_,247.34
_0968_,247.1
_1174_,245.52
clknet_3_1__leaf_clk,244.94
_1066_,244.78
_1207_,242.755
_0450_,241.665
_1068_,241.48
_1142_,239.13
_0588_,238.88
_1108_,237.26
_0635_,237.08
_1205_,236.29
_0402_,235.72
_1173_,235.07
_0967_,234.34
_1193_,233.64
_0982_,233.36
_0662_,231.86
_0611_,229.44
_1092_,229.22
_1209_,228.95
_1148_,227.06
_0970_,226.98
_1163_,226.06
_0631_,223.58
_0373_,223.07
_1076_,222.5
_1090_,222.3
_1114_,221.95
_0712_,221.19
_0444_,221.08
